0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,label
0,1,0,0,0,0,0,0,0,0,0.525424,0.516304,0.513661,0.971814,0.988644,0.894444,0.427746,0.583333,0.318182,0,1,0,0,0,0,0.983051,0.983051,1,0.598667404,0,0,0,0,1,1,1,0,0,0,1,0,0.1875,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.993809,0.987379,0.894444,0.421965,0.625,0.522727,0,0,0,0,1,0,0.966102,0.966102,1,0.534245014,0,0,0,0,1,1,1,0,0,0,0,0,0.0625,0,0,0,1,0
0,0,0,1,0,0,0.598765,0,1,0.163934,0.118012,0.117284,0.539877,0.987751,0.993023,0.958824,0.165644,0.75,0.433333,0,0,0,0,1,0,0.983051,0.97479,1,0.074473325,0,0,0,0,1,1,1,0,0,0,1,1,0.166667,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.988427,0.983985,0.888889,0.433526,0.541667,0.227273,0,1,0,0,0,0,0.991525,1,1,0.852567474,0,0,0,0,1,1,1,0,0,0,0,1,0.0625,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.994408,0.991168,0.9,0.421965,0.625,0.454545,0,0,0,0,1,0,0.966102,0.966102,1,0.880669728,0,0,0,0,1,1,1,0,0,0,0,0,0.25,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.994382,0.991173,0.905556,0.421965,0.875,0.954545,0,0,0,1,0,0,0.932203,0.932203,1,0.556470629,0,0,0,0,1,1,1,0,0,0,0,0,0.1875,0,0,1,0,0
0,0,0,1,0,0,0.174699,0,1,0.625,0.666667,0.652174,0.650273,0.970772,0.988859,0.9,0.485549,0.541667,0.454545,0,0,0,0,1,0,0.974576,0.974576,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0.125,0,0,0,1,0
0,0,0,1,0,0,0,1,0,0.546448,0.546584,0.537037,0.539877,0.965682,0.995143,0.964706,0.472393,0.833333,0.1,0,0,0,1,0,0,0.983051,0.97479,1,0.526121241,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.971788,0.988643,0.9,0.427746,0.625,0.318182,0,0,0,0,1,0,0.983051,0.983051,1,0.521363464,0,0,0,0,1,1,1,0,0,0,0,0,0.25,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.971786,0.988643,0.905556,0.421965,0.583333,0.295455,0,1,0,0,0,0,0.983051,0.983051,1,0.804613266,0,0,0,0,1,1,1,0,0,0,0,0,0.125,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.970748,0.988866,0.905556,0.421965,0.583333,0.409091,0,0,0,0,1,0,0.974576,0.974576,1,0.548305029,0,0,0,0,1,1,1,0,0,0,0,0,0.125,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.994399,0.991174,0.911111,0.421965,0.625,0.636364,0,0,0,1,0,0,0.957627,0.957627,1,0.555325625,0,0,0,0,1,1,1,0,0,0,0,0,0.25,0,0,1,0,0
0,0,0,1,0,0,0,1,1,0.546448,0.546584,0.537037,0.539877,0.983624,0.996147,0.911765,0.466258,0.916667,0.5,0,0,0,1,0,0,0.983051,0.97479,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,1,1,0.546448,0.546584,0.537037,0.539877,0.982428,0.988999,0.958824,0.460123,0.833333,0.533333,0,0,0,0,1,0,0.974576,0.966387,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.971786,0.988644,0.911111,0.421965,0.583333,0.204545,0,1,0,0,0,0,0.974576,0.983051,1,0.897053211,0,0,0,0,1,1,1,0,0,0,0,1,0.1875,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.971882,0.999991,0.883333,0.421965,0.583333,0.363636,0,0,0,1,0,0,0.974576,0.974576,1,0.535423479,0,0,0,0,1,1,1,0,0,0,0,0,0.1875,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.965607,0.99515,0.916667,0.421965,0.625,0.613636,0,0,0,0,1,0,0.957627,0.957627,1,0.748475681,0,0,0,0,1,1,1,0,0,0,0,0,0.125,1,0,0,0,0
0,0,0,1,0,0,0,1,1,0.5,0.525424,0.516304,0.513661,0.988497,0.983995,0.894444,0.421965,0.583333,0.5,0,0,0,0,1,0,0.966102,0.966102,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.0625,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0.5,0.525424,0.516304,0.513661,0.971817,0.988644,0.916667,0.421965,0.625,0.659091,0,0,0,0,1,0,0.949153,0.957627,1,0.538925412,0,0,0,0,1,1,1,0,0,0,0,1,0.1875,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0.546448,0.546584,0.537037,0.539877,0,0,0.976471,0.460123,0.75,0.8,0,0,0,0,1,0,0.991525,0.983193,1,0.885159814,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0.5,0.525424,0.516304,0.513661,0.971808,0.988646,0.911111,0.421965,0.583333,0.318182,0,0,0,0,1,0,0.983051,0.983051,1,0.904040346,0,0,0,0,1,1,1,0,0,0,0,1,0.125,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0.3,0.525424,0.516304,0.513661,0,0,0.883333,0.421965,0.791667,0.818182,0,0,0,1,0,0,0.940678,0.940678,1,0.538942142,0,0,0,0,1,1,1,0,0,0,0,0,0.1875,0,0,1,0,0
